time,ctrt,ftrt,pbic,amac,unavp,porg,bg,phos,nag,ag,lap,abts
T3,All,Control,32.43408033,88.75855274,12.84057003,195.8667969,351.2126361,192.5393631,48.26168507,66.11152273,428.6946661,-1.430335355
T3,All,Control,27.57000852,87.57672927,12.73412161,178.9191406,110.6068489,43.05153027,3.307955199,5.64809344,114.0762589,-0.352833434
T3,All,Control,30.97314729,92.25891419,15.58629792,221.9316406,118.9798906,56.88023592,5.432770458,7.651690661,146.0800538,0.480719914
T3,Faba Oat,Control,38.76052441,110.679296,-5.78747661,221.7476563,214.7616423,152.85476,36.60997867,28.88283914,311.9696884,-0.429014944
T3,Faba Oat,Control,24.73751958,86.64367621,25.67935111,178.0394531,184.8576144,146.0864225,21.63258718,22.67100164,282.801942,-1.64979364
T3,Faba Oat,Control,25.9714753,85.14751082,29.31070138,194.9203125,130.3743006,129.5032437,51.60380126,9.635842075,261.4535694,0.223667728
T3,Radish,Control,33.27214135,91.61704077,15.34519288,219.865625,178.6398737,103.7233744,30.59573497,36.75291315,241.3742559,0.971382177
T3,Radish,Control,35.37843235,87.69514066,19.65103639,216.8753906,116.1737578,122.9411363,22.52122932,10.01412612,156.5982666,1.159297484
T3,Radish,Control,34.98397371,89.4993056,24.29601759,216.1707031,89.24276213,61.79376859,10.4781256,11.01710162,80.28154636,-1.642269108
T3,Faba,Control,37.20139481,98.10203666,16.84500603,178.6515625,254.8577901,152.2922501,49.72813944,52.79400104,249.5041812,2.07605341
T3,Faba,Control,30.30963877,95.94340103,10.4657102,177.88125,80.9685977,59.42260049,10.82244519,0.726724052,109.3324583,1.965805975
T3,Faba,Control,45.71043129,87.1861571,17.39638041,201.0070313,112.2891144,78.41763827,22.51680026,6.747346192,130.1858196,2.897958251
T3,Oat,Control,23.89491622,78.70819973,28.64688405,187.55,104.7021239,91.58026419,11.25205255,10.13176292,132.8226475,4.091619424
T3,Oat,Control,45.69352592,98.82006704,-1.20304606,189.0894531,122.8542615,95.72791105,26.33935749,20.16364587,140.2778481,3.104491304
T3,Oat,Control,26.89622633,91.16449692,25.20099555,200.2382813,91.27907214,99.8526521,29.12585585,7.594925851,97.38579296,4.038725813
T3,Fallow,Control,20.1495111,84.65032829,42.17281691,179.7773438,86.7172687,74.34397906,12.83669937,5.459961923,114.2541246,5.510724548
T3,Fallow,Control,22.25422972,87.84510903,28.67019255,172.8304688,73.05548816,66.88060837,6.815792249,3.149610851,99.70887536,4.729827293
T3,Fallow,Control,23.88071571,82.61108566,36.13515173,169.3230469,74.96295103,57.3664428,5.243391296,3.365042619,88.95118427,4.956832165
Baseline,All,Control,23.39789832,79.70682547,64.66871371,155.2765625,179.3179581,88.75452174,17.45132334,24.68451514,181.657874,-1.555117325
Baseline,Faba Oat,Control,23.2360125,90.7924874,72.7879064,136.5835938,101.1212686,80.74283416,15.45355074,13.70683531,142.4059078,-0.360164248
Baseline,Radish,Control,22.00334857,90.17167112,42.80732711,156.3176532,155.8471582,56.60283338,2.782770737,1.978898156,165.6011781,-1.084438145
Baseline,Faba,Control,27.98466345,96.44983967,2.03034068,161.9351563,197.2312668,72.99360905,18.20640263,43.79245693,235.7517706,-1.288346454
Baseline,Oat,Control,22.23913661,93.42647732,26.03767387,169.3967122,88.37910969,56.37755727,7.369153823,10.72711274,96.41603826,-1.444881107
Baseline,Fallow,Control,23.73546738,91.53853826,29.53190256,154.9940918,93.82188419,45.70915199,2.60378969,10.02509684,87.18525971,-0.659633066
