,time,ctrt,ftrt,cbio,swet,pbic,amac,edta,unavp,porg,ptot,bg,phos,nag,ag,lap,abts
64,T2,Faba,Control,57.12,0.521276596,34.91264395,108.6567021,138.5253906,-5.04395545,230.4246094,368.95,153.2280083,136.7853796,13.56907843,14.6121202,182.5483107,-2.707482184
65,T2,Faba,Control,57.12,0.28802589,30.45780616,96.47957827,129.3945313,2.45714687,187.2054688,316.6,212.1401109,156.5213578,45.15578117,19.82944331,256.5863155,-2.627342655
66,T2,Faba,Control,57.12,0.312101911,25.05770366,93.03492354,131.0546875,12.9620603,187.0953125,318.15,118.2251117,93.35105922,9.370352327,7.66537935,161.6710099,-0.44063847
67,T2,Oat,Control,19.77,0.290734824,28.54818096,104.1358814,142.0898438,9.40578144,187.5101563,329.6,107.5031738,63.09492262,11.45769445,11.44059776,138.4554908,0.393643468
68,T2,Oat,Control,19.77,0.294748124,26.9482876,103.3327516,129.3945313,-0.8865079,189.0554688,318.45,63.89059353,42.97147916,2.027776073,2.100758889,110.7067305,-0.140681878
69,T2,Oat,Control,19.77,0.307860262,25.29224652,92.18964727,126.3671875,8.88529371,180.8328125,307.2,104.0222806,71.48512224,18.85804542,6.091098777,150.0418414,1.533893021
70,T2,Control,Control,0,0.228965517,24.84919057,88.98305085,130.8186849,16.98644348,168.7813151,299.6,70.2543699,51.75288553,2.704440473,1.452382968,86.79206574,3.749600894
71,T2,Control,Control,0,0.409381663,25.89990014,85.43843187,126.2919108,14.95357879,170.3580892,296.65,53.72836183,44.02901493,3.614422295,-0.242636751,61.25621362,0.485179419
72,T2,Control,Control,0,0.285110876,26.96801053,88.76764173,124.3164063,8.58075404,177.0835938,301.4,82.5004438,81.51917441,15.24554415,3.686214346,118.1890911,-0.399523524
91,T3,All,Control,35.45,.,32.43408033,88.75855274,134.0332031,12.84057003,195.8667969,329.9,351.2126361,192.5393631,48.26168507,66.11152273,428.6946661,-1.430335355
92,T3,All,Control,35.45,.,27.57000852,87.57672927,127.8808594,12.73412161,178.9191406,306.8,110.6068489,43.05153027,3.307955199,5.64809344,114.0762589,-0.352833434
93,T3,All,Control,35.45,.,30.97314729,92.25891419,138.8183594,15.58629792,221.9316406,360.75,118.9798906,56.88023592,5.432770458,7.651690661,146.0800538,0.480719914
94,T3,Faba Oat,Control,39.82,.,38.76052441,110.679296,143.6523438,-5.78747661,221.7476563,365.4,214.7616423,152.85476,36.60997867,28.88283914,311.9696884,-0.429014944
95,T3,Faba Oat,Control,39.82,.,24.73751958,86.64367621,137.0605469,25.67935111,178.0394531,315.1,184.8576144,146.0864225,21.63258718,22.67100164,282.801942,-1.64979364
96,T3,Faba Oat,Control,39.82,.,25.9714753,85.14751082,140.4296875,29.31070138,194.9203125,335.35,130.3743006,129.5032437,51.60380126,9.635842075,261.4535694,0.223667728
97,T3,Radish,Control,36.31,.,33.27214135,91.61704077,140.234375,15.34519288,219.865625,360.1,178.6398737,103.7233744,30.59573497,36.75291315,241.3742559,0.971382177
98,T3,Radish,Control,36.31,.,35.37843235,87.69514066,142.7246094,19.65103639,216.8753906,359.6,116.1737578,122.9411363,22.52122932,10.01412612,156.5982666,1.159297484
99,T3,Radish,Control,36.31,.,34.98397371,89.4993056,148.7792969,24.29601759,216.1707031,364.95,89.24276213,61.79376859,10.4781256,11.01710162,80.28154636,-1.642269108
100,T3,Faba,Control,57.12,.,37.20139481,98.10203666,152.1484375,16.84500603,178.6515625,330.8,254.8577901,152.2922501,49.72813944,52.79400104,249.5041812,2.07605341
101,T3,Faba,Control,57.12,.,30.30963877,95.94340103,136.71875,10.4657102,177.88125,314.6,80.9685977,59.42260049,10.82244519,0.726724052,109.3324583,1.965805975
102,T3,Faba,Control,57.12,.,45.71043129,87.1861571,150.2929688,17.39638041,201.0070313,351.3,112.2891144,78.41763827,22.51680026,6.747346192,130.1858196,2.897958251
103,T3,Oat,Control,19.77,.,23.89491622,78.70819973,131.25,28.64688405,187.55,318.8,104.7021239,91.58026419,11.25205255,10.13176292,132.8226475,4.091619424
104,T3,Oat,Control,19.77,.,45.69352592,98.82006704,143.3105469,-1.20304606,189.0894531,332.4,122.8542615,95.72791105,26.33935749,20.16364587,140.2778481,3.104491304
105,T3,Oat,Control,19.77,.,26.89622633,91.16449692,143.2617188,25.20099555,200.2382813,343.5,91.27907214,99.8526521,29.12585585,7.594925851,97.38579296,4.038725813
106,T3,Control,Control,0,.,20.1495111,84.65032829,146.9726563,42.17281691,179.7773438,326.75,86.7172687,74.34397906,12.83669937,5.459961923,114.2541246,5.510724548
107,T3,Control,Control,0,.,22.25422972,87.84510903,138.7695313,28.67019255,172.8304688,311.6,73.05548816,66.88060837,6.815792249,3.149610851,99.70887536,4.729827293
108,T3,Control,Control,0,.,23.88071571,82.61108566,142.6269531,36.13515173,169.3230469,311.95,74.96295103,57.3664428,5.243391296,3.365042619,88.95118427,4.956832165
115,Baseline,All,Control,35.45,0.205235602,23.39789832,79.70682547,167.7734375,64.66871371,155.2765625,323.05,179.3179581,88.75452174,17.45132334,24.68451514,181.657874,-1.555117325
116,Baseline,Faba Oat,Control,39.82,0.159090909,23.2360125,90.7924874,186.8164063,72.7879064,136.5835938,323.4,101.1212686,80.74283416,15.45355074,13.70683531,142.4059078,-0.360164248
117,Baseline,Radish,Control,36.31,0.334586466,22.00334857,90.17167112,154.9823468,42.80732711,156.3176532,311.3,155.8471582,56.60283338,2.782770737,1.978898156,165.6011781,-1.084438145
118,Baseline,Faba,Control,57.12,0.170502092,27.98466345,96.44983967,126.4648438,2.03034068,161.9351563,288.4,197.2312668,72.99360905,18.20640263,43.79245693,235.7517706,-1.288346454
119,Baseline,Oat,Control,19.77,0.284745763,22.23913661,93.42647732,141.7032878,26.03767387,169.3967122,311.1,88.37910969,56.37755727,7.369153823,10.72711274,96.41603826,-1.444881107
120,Baseline,Control,Control,0,0.387708649,23.73546738,91.53853826,144.8059082,29.53190256,154.9940918,299.8,93.82188419,45.70915199,2.60378969,10.02509684,87.18525971,-0.659633066
